text,chapter,source
在此关键时刻，邓小平对这场讨论给予了及时而有力的支持。1978年6月2日，他在全军政治工作会议的讲话中着重阐述毛泽东关于实事求是的观点，批评在对待毛泽东和毛泽东思想问题上“两个凡是”的错误态度，号召“一定要肃清林彪、‘四人帮’的流毒，拨乱反正，打破精神枷锁，使我们的思想来个大解放”。此后，《解放军报》、《人民日报》、《光明日报》等报刊连续发表文章，一批老同志以不同的方式支持或参与讨论。在老一辈革命家的支持下，中央各部门、地方和军队的负责人相继发表讲话或文章，表明支持的态度；理论界、学术界、新闻界站在讨论前沿，踊跃参与。这场讨论受到社会各界的关注，表明真理标准问题已不仅是一个理论观点问题，而是关系到党和国家前途命运的重大政治问题。在多种力量的推动下，“打破僵化”、“解放思想”的呼声越来越高，开始打破“两个凡是”和多年来盛行的个人崇拜的禁锢。真理标准讨论为党重新确立实事求是的思想路线，纠正长期以来的“左”倾错误，实现历史性转折奠定了思想理论基础。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
真理标准讨论推动了各条战线的拨乱反正。人们开始摆脱“两个凡是”的束缚，实事求是地处理拨乱反正中遇到的问题。组织部门放手地平反冤假错案，提出不管是什么情况下定的、不管是什么人批的，该平反的都要平反；一些工业部门坚决贯彻按劳分配原则，恢复了一些过去曾遭批判的行之有效的做法；农村工作中，一些地方领导人从实际情况出发，大胆地对农村政策进行调整，在一定范围内纠正多年来农村工作中一些“左”的做法。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
拨乱反正伴随着思想解放，人们的思想空前活跃。批判危害多年的极左思潮，恢复马克思主义的基本原理；反思过去的曲折，考虑未来的出路。党内开始酝酿对社会主义的若干体制进行改革。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
对国际形势，特别是发达国家情况的了解，加深了中国对外开放的紧迫感。二十世纪七十年代末，正是许多发达国家再次进行产业结构调整的时候。中国的对外交往迅速扩大和增加，党和国家领导人先后走出国门，在了解国际形势的同时，无不强烈感受到中国同发达国家在经济、科技、管理等方面正在拉大的差距，不能不痛心疾首于这样的现实:中国目前的状况太落后了，这些年耽误的时间太长了!在对国际形势及其发展趋向进行总体分析的基础上，1977年12月，邓小平提出世界战争可以推迟，我国经济建设可以争取更多的和平时间的判断。1978年3月，邓小平又指出:“独立自主不是闭关自守，自力更生不是盲目排外”。“任何一个民族、一个国家，都需要学习别的民族、别的国家的长处，学习人家的先进科学技术。”于是，如何学习借鉴国外先进的管理经验和科学技术，成为中国领导人日益关注的问题。改革开放，加快建设步伐的思路日益明确。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1978年7月至9月，在国务院召开的务虚会上，许多同志提出改革僵化的经济管理体制、引进国外先进技术和资金的建议。李先念提出:实现四个现代化是一场根本改变我国经济和技术落后面貌的伟大革命，既要大幅度地改变目前落后的生产力，也就必然要多方面地改变生产关系和上层建筑。我们应该有魄力、有能力利用国外的先进技术、设备、资金和组织经验来加快建设。9月下旬，国务院召开的全国计划会议又提出，经济工作必须实行三个转变:一是把注意力转到生产斗争和技术革命上来；二是把管理制度和管理方法转到按照经济规律办事的科学管理的轨道上来；三是从闭关自守或半闭关自守状态转到积极引进国外先进技术，利用国外资金，大胆进入国际市场的开放政策上来。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
当“两个凡是”的思想禁锢刚被冲破时，对我国发展的紧迫性和经济、政治体制存在的弊端有着很深感受的邓小平，先是在最高领导层内大声疾呼:社会主义就是要加快发展生产力，要学习、引进国外先进技术和管理经验，大胆改革经济管理体制。随后，又到部分省市，与地方领导谈他思虑已久的想法，促成解放思想的浩大声势。1978年9月，邓小平在东北三省视察，行程数千里，走一路讲一路，用他自己的话说是到处点火。他反复强调，现在摆在我们面前的问题，关键还是实事求是、理论与实际相结合、一切从实际出发。他说:“我们现在要实现四个现代化，有好多条件，毛泽东同志在世的时候没有，现在有了。中央如果不根据现在的条件思考问题、下决心，很多问题就提不出来、解决不了”。他呼吁:世界天天发生变化，新的事物不断出现，新的问题不断出现，我们关起门来不行，不动脑筋永远陷于落后不行。一定要根据现在的有利条件加速发展生产力，使人民的生活好一些。他还提出，揭批“四人帮”的群众运动要适时地结束，转入正常工作，把党和国家的工作重点转移到现代化建设上来。这一意见得到中央政治局常委的赞同。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1978年11月10日至12月15日，党中央在北京召开工作会议。这次会议本来是要讨论经济工作的，会议的既定议程没有提到已经展开的真理标准讨论和党内外普遍关心的端正党的思想路线、平反冤假错案等问题。对此，许多希望首先解决思想路线是非和重大历史是非的同志很不满意。陈云率先提出系统地解决历史遗留问题的意见，引起大多数与会者的强烈反响，从而改变了会议议程。在与会者的强烈要求下，11月25日，中央政治局终于作出为天安门事件平反，为“薄一波等六十一人叛徒集团”案等错案平反的决定，解决了一批重大的历史遗留问题。接着，会议对真理标准问题上出现的意见分歧进行讨论。经过思想交锋，会议要求确立实事求是思想路线的呼声更为强烈。12月13日，邓小平在闭幕会上作题为《解放思想，实事求是，团结一致向前看》的讲话。他指出:首先是解放思想，只有思想解放了，我们才能正确地以马列主义、毛泽东思想为指导，解决过去遗留的问题，解决新出现的一系列问题。一个党，一个国家，一个民族，如果一切从本本出发，思想僵化，迷信盛行，那它就不能前进，它的生机就停止了，就要亡党亡国。他还提出改革经济体制的任务，语重心长地告诫全党:“再不实行改革，我们的现代化事业和社会主义事业就会被葬送”。在中国面临向何处去的重大历史关头，这篇讲话是开辟新时期新道路的宣言书。它受到与会者的热烈拥护，实际上成为随后召开的十一届三中全会的主题报告。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1978年12月18日至22日，党的十一届三中全会在北京召开。全会认为，应当结束揭批林彪、“四人帮”的群众运动，及时地、果断地把党和国家的工作着重点转移到社会主义现代化建设上来。全会增选陈云为中央政治局委员、常委，中央委员会副主席；增选邓颖超、胡耀邦、王震为中央政治局委员；增补黄克诚等九人为中央委员；选举出以陈云为第一书记的中央纪律检查委员会。这时，虽然华国锋仍担任党中央主席，但就体现党的正确指导思想和决定现代化建设的重大方针政策来说，邓小平实际上已成为中央领导集体的核心。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
十一届三中全会是建国以来党的历史上具有深远意义的伟大转折。这次全会彻底否定“两个凡是”的方针，重新确立解放思想、实事求是的指导思想，实现了思想路线的拨乱反正；停止使用“以阶级斗争为纲”的口号，作出工作重点转移的决策，实现了政治路线的拨乱反正；形成以邓小平为核心的党中央领导集体，取得了组织路线拨乱反正的最重要成果；恢复党的民主集中制的优良传统，提出使民主制度化、法律化的重要任务；审查和解决历史上遗留的一批重大问题和一些重要领导人的功过是非问题，开始了系统清理重大历史是非的拨乱反正。会议还提出要正确对待毛泽东的历史地位和毛泽东思想的科学体系，为纠正毛泽东晚年的错误、同时坚持和发展毛泽东思想指明了方向。这次全会作出实行改革开放的新决策，开始了中国从“以阶级斗争为纲”到以经济建设为中心、从僵化半僵化到全面改革、从封闭半封闭到对外开放的历史性转变。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
由于一系列的根本性转变，十一届三中全会结束了粉碎“四人帮”后两年来党在徘徊中前进的局面。党在思想、政治、组织等领域的拨乱反正从这次全会开始全面展开。伟大的社会主义改革开放从这次全会揭开序幕。建设有中国特色社会主义的新道路以这次全会为起点正式开辟。十一届三中全会是中国进入社会主义事业发展新时期的光辉标志。它标志着中国共产党终于从严重的历史挫折中重新奋起，带领中国人民开始了改革开放和为实现社会主义现代化而奋斗的新长征。这是在以邓小平为核心的第二代中央领导集体的领导下，中国人民进行的新的革命，是中国社会在二十世纪的第三次历史性的巨大变化。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
十一届三中全会后，在党内外努力研究新情况、解决新问题的同时，也出现若干值得注意的现象。这就是，一方面一些同志仍然受“左”倾思想的束缚，对三中全会以来党的路线、政策表现出某种不理解甚至抵触情绪；另一方面社会上极少数人利用党纠正“左”倾错误的机会，打着“民主自由”、“解放思想”的旗号，散布怀疑和否定共产党的领导、反对社会主义制度和毛泽东思想的言论，主张走资本主义道路。党内也有极少数人思想发生动摇，他们不但不承认这股资产阶级自由化思潮的危险，甚至直接间接地加以某种程度的支持。如果听任这两方面的倾向发展下去，必将造成思想混乱，影响刚刚形成的安定团结局面。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1979年3月，邓小平代表党中央在理论工作务虚会上讲话指出:在中国要实现四个现代化，必须坚持社会主义道路、坚持无产阶级专政即人民民主专政、坚持共产党的领导、坚持马列主义毛泽东思想。这四项基本原则“是实现四个现代化的根本前提”。他强调，一方面要继续肃清“四人帮”散布的极左思潮的流毒，另一方面也要同怀疑或反对四项基本原则的思潮作坚决斗争。这篇讲话表明，中国共产党所实行的改革开放，一开始就具有明确的社会主义方向。这既是对资产阶级自由化思潮的有力抵制，又是对党的十一届三中全会路线的进一步阐述。从此，四项基本原则同以经济建设为中心和改革开放一起，构成党的十一届三中全会路线的基本内容。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
根据邓小平的讲话，各地开展坚持四项基本原则的教育，反对资产阶级自由化思潮。同时，从部队到地方，进行真理标准讨论的补课，进一步推动解放思想，破除僵化，保证十一届三中全会路线的正确贯彻。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
在社会主义现代化建设中，在坚持四项基本原则和改革开放的实践中，当代中国的马克思主义——邓小平理论逐步形成和发展起来。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
十一届三中全会后，鉴于国民经济中一些重大比例关系严重失调的状况和经济工作中急于求成的现象的出现，党中央于1979年4月召开工作会议，制定“调整、改革、整顿、提高”的八字方针，开始对国民经济进行调整。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
调整国民经济的过程，实际上是探索建设有中国特色的社会主义现代化建设道路的过程，也是推动改革开放的过程。在走过不少弯路、吃了不少苦头之后，党对于搞建设必须适合中国国情有了较深切的体验。邓小平指出:“搞建设，也要适合中国情况，走出一条中国式的现代化道路”。他认为，要使中国现代化，至少有两个主要特点是要注意的。一个是底子薄；一个是人口多，耕地少。陈云说:我们搞四个现代化，要“讲实事求是，先要把‘实事’搞清楚。这个问题不搞清楚，什么事情也搞不好”。他这样分析我国国情:我国社会经济的主要特点是农村人口占百分之八十，而且人口多，耕地少。要认清我们是在这种情况下搞四个现代化的。党在调整中坚决纠正前些年经济工作中的失误，认真清理长期“左”倾错误的影响，并初步总结了建国以来经济建设的经验教训，指出:经济建设必须从我国国情出发，符合经济规律和自然规律；必须量力而行，循序前进，经过论证，讲求实效，使生产的发展同人民生活的改善密切结合；必须在坚持独立自主、自力更生的基础上，积极开展对外经济合作和技术交流。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
经济调整首先是加强农业，理顺农业与工业的关系。根据党中央建议，国务院颁布了提高农产品收购价格，不许征购过头粮、缩小工农业产品差价等一系列恢复和发展农业的政策。这些措施调动了农民的积极性，促进了农业的恢复和发展，也为进行农村体制改革敞开了大门。在其他方面的调整中，党中央针对“左”的思想阻力和急于求成的习惯心理，做了大量艰苦细致的工作。通过经济调整，从1981年起，主要经济比例关系逐渐趋于合理，长期存在的积累率过高和农业、轻工业严重滞后的情况有了根本改变。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
这次调整，除理顺严重失调的国民经济比例关系外，更着重于纠正经济建设指导思想上“左”的错误，全党对“左”的指导思想和经济体制中的弊端有了更加清醒的认识。在此基础上，国务院提出新的经济发展方针，要求切实改变长期以来在“左”的思想指导下一套老的做法，从我国实际出发，走出一条速度比较实在、经济效益比较好、人民可以得到更多实惠的新路子。这是经济领域拨乱反正的最重要成果。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
经济体制改革，首先在农村取得成功。这看起来似乎是多少带些偶然因素的事情，实际上却是二十多年来农村生产力一直要求突破“左”的农村政策的结果。在“左”倾错误影响下，我国农村的落后面貌长期没有大的改变。为了能够解决吃粮的基本需要，农民群众曾在1957年、1959年、1962年实行过包产到组、包产到户的生产组织形式。由于当时认为这是“走资本主义道路”，致使这种自发的形式在一次次政治运动中受到压制，屡起屡落。1978年夏秋之际，安徽遭受百年不遇的特大旱灾，以万里为第一书记的中共安徽省委作出把土地借给农民耕种，不向农民征统购粮的决策。这一决策激发了农民的生产积极性，战胜了特大旱灾，还引发出一些农民包产到户、包干到户的行动。几乎与此同时，四川省不少地方的农民也实行包产到组。在安徽、四川的影响下，其他一些地方也开始实行农村联产责任制。1980年，四川省广汉县的一个公社挂出乡人民政府的牌子，成为全国第一个取消人民公社的地方。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
农村出现的改革势头，虽引起一些人议论纷纷，却得到邓小平的支持。1980年4月和5月，邓小平两次就农村政策问题同中央负责人谈话，提出农村政策要继续放宽，土地承包给个人不会影响我们制度的社会主义性质。同年9月，党中央发出加强和完善农业生产责任制的文件，首次突破多年来把包产到户等同于分田单干和资本主义的观念，肯定在生产队领导下实行的包产到户，不会脱离社会主义轨道，没有复辟资本主义的危险。在中央的肯定下，包产到户、包干到户的“双包”责任制迅速推广。1982年，我国农业获得少有的大丰收。农村面貌出现了可喜变化。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
十一届三中全会后，城市经济体制改革也开始试点工作，如:逐步扩大企业自主权；把一部分中央和省、自治区直属企业下放给城市管理；实行政企分开；进行城市经济体制综合改革试点等。四川省较早地于1978年10月进行扩大企业自主权的试点。不久，试点范围进一步扩大，扩权改革的企业迅速增加。过去那种企业只按计划生产，不了解市场需要，不关心产品销路和赢利亏损的状况得到初步扭转。在企业扩权试点和农村生产责任制的影响下，不少企业还围绕国家与企业、企业与职工之间的责、权、利关系，实行经济责任制，试行厂长负责制，克服企业吃国家“大锅饭”和企业内部吃“大锅饭”的现象。经济责任制很快在工业企业中得到推广。这一时期，就业制度的改革也成效显著。在劳动就业问题上，改变计划经济体制下多年形成的对劳动力统包统配、动员城镇待业青年上山下乡的做法，制定了“解放思想，放宽政策，发展生产，广开就业门路”的方针，调整所有制结构和产业结构，扶持集体经济，允许个体经营，创办劳动服务公司，拓宽就业渠道。从而初步解决了多年积累的知识青年就业问题，也为进一步改善所有制结构、形成新的就业制度奠定了良好基础。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
随着改革的推进，对外开放开始有重大突破。创办经济特区为实行对外开放提供了一个新的思路。在1979年4月中央工作会议期间，邓小平听了广东省委负责人关于在毗邻港澳的深圳、珠海和侨乡汕头开办出口加工区的建议，当即表示:还是办特区好，过去陕甘宁就是特区嘛，中央没有钱，你们自己去搞，杀出一条血路来!中央工作会议讨论决定，在深圳、珠海、汕头和厦门划出一定的地区单独进行管理，作为华侨和港澳商人的投资场所。两个多月后，中央和国务院决定对广东、福建两省的对外经济活动给以更多的自主权，扩大对外贸易，同时决定在深圳、珠海划出部分地区试办出口特区。1980年，将“出口特区”改名为“经济特区”，决定在深圳、珠海、汕头和厦门设置经济特区。在来自全国各地的建设大军的艰苦努力下，深圳、珠海这样往日落后的边陲小镇、荒滩渔村，不过四年工夫，就变成了高楼矗立、初具规模的现代化城市，成为引进外资和先进技术的前沿地区。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
改革起步的几年间，新事物接踵涌现。在坚持和完善社会主义基本制度的前提下，前所未有的改革开放和社会主义现代化建设的新道路逐步展开。从1978年到1982年，工农业总产值平均每年增长7.3%，这是在国民经济重大比例关系趋于协调的情况下取得的较高的发展速度。人民生活得到明显改善。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
十一届三中全会后，思想、政治、组织等领域的拨乱反正全面展开。经过十年内乱，“文化大革命”造成的冤假错案和建国以来的历史遗留问题堆积如山，所涉及的范围之广、难度之大前所未有。以邓小平为核心的中央领导集体有条不紊地进行工作，保证了改革开放和现代化建设健康发展。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
拨乱反正，最重要的是指导思想的拨乱反正。为了把全党和全国人民的精力集中到社会主义现代化建设上来，党一方面对经济建设和阶级斗争问题上的“左”倾错误进行认真清理，一方面对毛泽东的历史地位和毛泽东思想的科学体系作出科学评价，使党和国家的工作着重点转移后，能够坚定地沿着改革开放和社会主义现代化建设的道路前进。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
在十一届三中全会果断地停止使用“以阶级斗争为纲”的口号后，如何认识社会主义社会的主要矛盾?党中央重新对这个问题作了阐述。1979年3月，邓小平指出:“我们的生产力发展水平很低，远远不能满足人民和国家的需要，这就是我们目前时期的主要矛盾，解决这个主要矛盾就是我们的中心任务。”当然，社会主义社会中的阶级斗争是一个客观存在，不应该缩小，也不应该夸大。缩小或夸大了，都要犯严重的错误。在这一认识的基础上，党进一步清理了作为“文化大革命”基本指导思想的“无产阶级专政下继续革命的理论”，指出这个理论是错误的，应当停止使用。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
为了从根本上纠正“左”的和右的错误倾向，党中央认为，必须正确地认识建国以来党走过的历史道路，科学地总结历史的经验教训。这样做，势必涉及如何评价毛泽东的历史地位和毛泽东思想的问题。这就必须根据马克思主义的实事求是原则，彻底打破个人崇拜和教条主义的束缚，既要如实地指出毛泽东晚年的错误，又要正确地维护毛泽东的历史地位，坚持毛泽东思想。1979年9月，党的十一届四中全会通过叶剑英代表党中央在庆祝建国三十周年大会上的讲话，初步总结了党在建国后三十年的历史经验。在邓小平主持下，党中央于11月开始起草《关于建国以来党的若干历史问题的决议》。1980年3月，邓小平对《决议》的起草提出三条指导原则:第一，确立毛泽东的历史地位，坚持和发展毛泽东思想，是最核心的一条；第二，对建国三十年来历史上的大事，要进行实事求是的分析，包括一些负责同志的功过是非，要做出公正的评价；第三，这个总结宜粗不宜细，总结过去是为了引导大家团结一致向前看。他还多次强调:对毛泽东的功过的评价要实事求是、恰如其分。毛泽东思想这个旗帜丢不得，丢掉了这个旗帜，实际上就否定了我们党的光辉历史。这些根本方针，使党既能够实事求是地指出和纠正毛泽东晚年的错误，又能够客观地对待自己的历史，不至于迷失方向，丧失基本的立足点。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1981年6月，党的十一届六中全会通过《关于建国以来党的若干历史问题的决议》。《决议》实事求是地评价毛泽东的历史地位，充分论述毛泽东思想作为党的指导思想的伟大意义，指出:毛泽东是伟大的马克思主义者，是伟大的无产阶级革命家、战略家和理论家；就他的一生来看，他对中国革命的功绩远远大于他的过失，他的功绩是第一位的，错误是第二位的。《决议》恢复了毛泽东思想的本来面目，将毛泽东晚年的错误与他的正确思想加以区别，指出毛泽东思想是马克思列宁主义在中国的运用和发展，是被实践证明了的关于中国革命的正确的理论原则和经验总结，是中国共产党集体智慧的结晶。《决议》庄严宣告:毛泽东思想是我们党的宝贵的精神财富，将长期指导我们的行动。《决议》对建国以来的一系列重大历史问题作出正确的结论，并彻底否定了“文化大革命”。《决议》总结建国以来的历史经验和教训，明确我们党已经逐步确立了一条适合我国情况的社会主义现代化建设的道路。它的主要点是:党和国家工作的着重点必须转移到以经济建设为中心的现代化建设上来，在大力发展社会生产力的基础上逐步改善人民的物质文化生活；经济建设必须从国情出发，量力而行，有步骤分阶段地实现现代化的目标；生产关系的变革必须适应生产力状况，有利于生产的发展；正确认识和处理社会主义社会的阶级斗争；建设高度民主的社会主义政治制度；社会主义必须有高度的精神文明等。这是第一次对三中全会以来的路线、方针、政策作出的初步概括。《决议》的通过标志着党在指导思想上的拨乱反正胜利完成，它推进了十一届三中全会以来的伟大历史转折，对于改革开放和社会主义现代化建设事业的发展具有重要的指导意义。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
